('03/29/2014', 'DATETIME', 'Report Date', 'VALID', 1154)
('03/20/2015', 'DATETIME', 'Report Date', 'VALID', 1154)
('02/23/2015', 'DATETIME', 'Report Date', 'VALID', 1155)
('03/29/2009', 'DATETIME', 'Report Date', 'VALID', 1156)
('05/13/2012', 'DATETIME', 'Report Date', 'VALID', 1156)
('04/18/2010', 'DATETIME', 'Report Date', 'VALID', 1156)
('04/22/2006', 'DATETIME', 'Report Date', 'VALID', 1157)
('01/17/2015', 'DATETIME', 'Report Date', 'VALID', 1157)
('02/15/2014', 'DATETIME', 'Report Date', 'VALID', 1157)
('04/01/2007', 'DATETIME', 'Report Date', 'VALID', 1158)
('11/12/2016', 'DATETIME', 'Report Date', 'VALID', 1158)
('03/19/2006', 'DATETIME', 'Report Date', 'VALID', 1158)
('03/16/2008', 'DATETIME', 'Report Date', 'VALID', 1158)
('12/19/2010', 'DATETIME', 'Report Date', 'VALID', 1158)
('01/29/2015', 'DATETIME', 'Report Date', 'VALID', 1159)
('01/30/2015', 'DATETIME', 'Report Date', 'VALID', 1159)
('01/29/2012', 'DATETIME', 'Report Date', 'VALID', 1159)
('09/03/2007', 'DATETIME', 'Report Date', 'VALID', 1160)
('04/20/2008', 'DATETIME', 'Report Date', 'VALID', 1160)
('03/05/2006', 'DATETIME', 'Report Date', 'VALID', 1160)
('03/02/2015', 'DATETIME', 'Report Date', 'VALID', 1160)
('02/08/2016', 'DATETIME', 'Report Date', 'VALID', 1161)
('04/01/2013', 'DATETIME', 'Report Date', 'VALID', 1161)
('03/25/2012', 'DATETIME', 'Report Date', 'VALID', 1161)
('12/27/2015', 'DATETIME', 'Report Date', 'VALID', 1161)
('09/18/2011', 'DATETIME', 'Report Date', 'VALID', 1161)
('01/26/2011', 'DATETIME', 'Report Date', 'VALID', 1161)
('09/19/2016', 'DATETIME', 'Report Date', 'VALID', 1162)
('06/17/2012', 'DATETIME', 'Report Date', 'VALID', 1162)
('04/05/2009', 'DATETIME', 'Report Date', 'VALID', 1163)
('02/17/2007', 'DATETIME', 'Report Date', 'VALID', 1163)
('12/08/2014', 'DATETIME', 'Report Date', 'VALID', 1163)
('05/29/2016', 'DATETIME', 'Report Date', 'VALID', 1164)
('12/24/2007', 'DATETIME', 'Report Date', 'VALID', 1164)
('05/26/2008', 'DATETIME', 'Report Date', 'VALID', 1164)
('01/23/2014', 'DATETIME', 'Report Date', 'VALID', 1164)
('02/16/2009', 'DATETIME', 'Report Date', 'VALID', 1164)
('05/24/2009', 'DATETIME', 'Report Date', 'VALID', 1165)
('12/20/2008', 'DATETIME', 'Report Date', 'VALID', 1166)
('11/28/2014', 'DATETIME', 'Report Date', 'VALID', 1166)
('07/10/2016', 'DATETIME', 'Report Date', 'VALID', 1166)
